question,label
What is the capital of France?,What
What is the chemical symbol for gold?,What
What do pandas eat?,What
What is the tallest mountain in the world?,What
What color is the sky on a clear day?,What
What is the main ingredient in guacamole?,What
What happens if you mix baking soda and vinegar?,What
What is the speed of light?,What
What are the primary colors?,What
What is the largest ocean on Earth?,What
What kind of instrument is a piano?,What
What is the boiling point of water?,What
What is the square root of 144?,What
What is the freezing point of water in Fahrenheit?,What
What is the name of our galaxy?,What
What does DNA stand for?,What
What is the most spoken language in the world?,What
What is the currency used in Japan?,What
What is the opposite of matter?,What
What is the meaning of life?,What
What is a prime number?,What
What is the distance from the Earth to the Moon?,What
What do you call a baby kangaroo?,What
What is the hardest natural substance on Earth?,What
What is the process of water turning into vapor?,What
What is the smallest planet in our solar system?,What
What is the function of the heart?,What
What is the difference between a virus and a bacteria?,What
What is the plot of The Great Gatsby?,What
What is the theory of relativity?,What
What type of animal is a dolphin?,What
What is the national bird of the United States?,What
What is a black hole?,What
What are the symptoms of the flu?,What
What is the best way to learn a new language?,What
What is the GDP of Germany?,What
What is the legal voting age in Canada?,What
What is the formula for calculating area?,What
What is the atomic number of oxygen?,What
What is the capital of Australia?,What
What is the rarest blood type?,What
What is the purpose of a catalytic converter?,What
What is the difference between weather and climate?,What
What is the plural of index?,What
What is a constellation?,What
What is the largest desert in the world?,What
What is the highest grossing film of all time?,What
What is the origin of the Olympic games?,What
What is the best-selling book in history?,What
What is the core temperature of the sun?,What
Who invented the telephone?,Who
Who wrote the play Hamlet?,Who
Who was the first person to walk on the moon?,Who
Who painted the Mona Lisa?,Who
Who is the current Prime Minister of the UK?,Who
Who discovered penicillin?,Who
Who played Neo in The Matrix?,Who
Who was the 16th President of the United States?,Who
Who holds the world record for the 100m sprint?,Who
Who is the CEO of Tesla?,Who
Who directed the movie Inception?,Who
Who won the World Cup in 2018?,Who
Who sang the hit song Thriller?,Who
Who was the lead vocalist of Queen?,Who
Who founded Microsoft?,Who
Who is the author of the Harry Potter series?,Who
Who was known as the Maid of Orleans?,Who
Who developed the theory of evolution?,Who
Who is the Greek god of the sea?,Who
Who composed the Four Seasons?,Who
Who was the first female pilot to fly solo across the Atlantic?,Who
Who is the richest person in the world?,Who
Who gave the I Have a Dream speech?,Who
Who discovered electricity?,Who
Who is the main character in The Catcher in the Rye?,Who
Who won the Nobel Peace Prize in 2014?,Who
Who painted the Sistine Chapel ceiling?,Who
Who is the villain in Star Wars?,Who
Who created the animated series The Simpsons?,Who
Who was the last Tsar of Russia?,Who
Who is the current Pope?,Who
Who designed the Eiffel Tower?,Who
Who was the first woman to win a Nobel Prize?,Who
Who leads the executive branch of the US government?,Who
Who wrote Pride and Prejudice?,Who
Who is the protagonist in the Legend of Zelda games?,Who
Who won the Super Bowl last year?,Who
Who is the mascot for Sega?,Who
Which actor played Iron Man?,Who
Name the person who invented the lightbulb.,Who
Which scientist proposed the laws of motion?,Who
Whose signature is the largest on the Declaration of Independence?,Who
Name the individual who founded Apple.,Who
Which artist cut off his own ear?,Who
Which historical figure crossed the Delaware River?,Who
Which author wrote 1984?,Who
Which athlete has the most Olympic medals?,Who
Whose face is on the hundred dollar bill?,Who
Name the explorer who first circumnavigated the globe.,Who
Which director is known for his suspense films like Psycho?,Who
When did World War II end?,When
When was the Declaration of Independence signed?,When
When is Halloween celebrated?,When
When did the Titanic sink?,When
When was the first iPhone released?,When
When does spring officially begin?,When
When did the Berlin Wall fall?,When
When was the Magna Carta signed?,When
When is the next leap year?,When
When did man first land on the moon?,When
When was the printing press invented?,When
When does the stock market open?,When
When was Google founded?,When
When did the Cold War end?,When
When is Thanksgiving in the United States?,When
When was the Eiffel Tower built?,When
When did the American Civil War begin?,When
When is your birthday?,When
When was the first Harry Potter book published?,When
When did Nelson Mandela get released from prison?,When
When is the best time to plant tomatoes?,When
When did the Roman Empire collapse?,When
When was electricity discovered?,When
When does daylight saving time end?,When
When was the United Nations established?,When
When did the French Revolution start?,When
When is the summer solstice?,When
When was the first modern Olympic Games held?,When
When did the dinosaurs go extinct?,When
When was the Mona Lisa painted?,When
When does the new fiscal year start?,When
When did the Industrial Revolution begin?,When
When was the first email sent?,When
When did Mount Vesuvius erupt and destroy Pompeii?,When
What year did the Apollo 11 mission take place?,When
What time does the train arrive?,When
What day of the week is Christmas this year?,When
In what century did the Renaissance begin?,When
At what hour is the meeting scheduled?,When
How long ago did the ice age end?,When
What year was the Constitution ratified?,When
What is the exact date of the lunar eclipse?,When
What time is the sunset today?,When
In which decade did disco music become popular?,When
What year did the internet become public?,When
At what time of day are shadows the shortest?,When
What day is the election being held?,When
In what year was the first successful airplane flight?,When
What time do the doors open for the concert?,When
What was the year the Beatles broke up?,When
Where is the Eiffel Tower located?,Where
Where is the Great Wall of China?,Where
Where do polar bears live?,Where
Where is the capital of Japan?,Where
Where was William Shakespeare born?,Where
Where is the Mariana Trench?,Where
Where does the President of the United States live?,Where
Where is the Louvre museum?,Where
Where did the Olympic games originate?,Where
Where is the Sahara Desert?,Where
Where is Mount Everest?,Where
Where is the Golden Gate Bridge?,Where
Where do kangaroos come from?,Where
Where was the first atomic bomb dropped?,Where
Where is the headquarters of the United Nations?,Where
Where is the Amazon Rainforest located?,Where
Where is the smallest country in the world?,Where
Where did the Titanic sink?,Where
Where is the Bermuda Triangle?,Where
Where is the Colosseum?,Where
Where does the Pope live?,Where
Where is the Great Barrier Reef?,Where
Where was chocolate first invented?,Where
Where is the Taj Mahal?,Where
Where is the biggest volcano on Earth?,Where
Where do giant pandas live in the wild?,Where
Where is the headquarters of Apple Inc.?,Where
Where was the Declaration of Independence signed?,Where
Where is the deepest part of the ocean?,Where
Where is the Statue of Liberty?,Where
Where did the Renaissance begin?,Where
Where is the driest place on Earth?,Where
Where is the Galapagos Islands?,Where
Where was the first printed book made?,Where
What city is the capital of Italy?,Where
In what country can you find the ancient city of Petra?,Where
What continent is Egypt located on?,Where
Which state is the Grand Canyon in?,Where
What is the address of the White House?,Where
From what region does champagne originate?,Where
In which city is the Kremlin located?,Where
What country has the highest population?,Where
Which planet is closest to the sun?,Where
What ocean lies on the east coast of the United States?,Where
In what hemisphere is Australia located?,Where
What city is known as the Big Apple?,Where
Which nation hosts the city of Dubai?,Where
What is the geographic location of the North Pole?,Where
In which European country is Barcelona?,Where
What town did the Wright brothers take their first flight in?,Where
Why do we dream?,Why
Why is the sky blue?,Why
Why do leaves change color in the fall?,Why
Why do cats purr?,Why
Why is the ocean salty?,Why
Why do we need sleep?,Why
Why do birds migrate?,Why
Why did the Titanic sink?,Why
Why is ice slippery?,Why
Why do onions make you cry?,Why
Why is Pluto no longer considered a planet?,Why
Why do humans yawn?,Why
Why do earthquakes happen?,Why
Why is the Mona Lisa so famous?,Why
Why do we have leap years?,Why
Why do fireflies glow?,Why
Why did the dinosaurs go extinct?,Why
Why do stars twinkle?,Why
Why is water wet?,Why
Why do dogs wag their tails?,Why
Why is the grass green?,Why
Why do we get goosebumps?,Why
Why did the Roman Empire fall?,Why
Why is the Great Wall of China so long?,Why
Why do people sneeze?,Why
Why do zebras have stripes?,Why
Why is the Leaning Tower of Pisa tilted?,Why
Why do we cry when we are sad?,Why
Why do airplanes fly?,Why
Why did World War I start?,Why
Why do magnets attract iron?,Why
Why is physical exercise important?,Why
Why do we have seasons?,Why
Why do bats hang upside down?,Why
What is the reason for the seasons?,Why
For what purpose was the Great Pyramid built?,Why
What caused the American Revolution?,Why
How come the moon changes shape?,Why
What is the explanation for gravity?,Why
What was the motive behind the assassination of Archduke Franz Ferdinand?,Why
For what reason do we pay taxes?,Why
What caused the Great Depression?,Why
What is the biological purpose of fever?,Why
How come we cannot drink saltwater?,Why
What is the reason behind global warming?,Why
What drove the Vikings to explore new lands?,Why
For what reason did the chicken cross the road?,Why
What causes a rainbow to form?,Why
What is the primary cause of inflation?,Why
What led to the invention of the internet?,Why
How does photosynthesis work?,How
How do airplanes fly?,How
How do you bake a cake?,How
How does a car engine work?,How
How do bees make honey?,How
How do you solve a Rubik's cube?,How
How does the internet work?,How
How do you tie a tie?,How
How does a microwave heat food?,How
How do fish breathe underwater?,How
How do you play chess?,How
How does a camera take pictures?,How
How do you change a flat tire?,How
How does gravity work?,How
How do vaccines protect against disease?,How
How do you write a resume?,How
How does a refrigerator keep things cold?,How
How do you say hello in Spanish?,How
How does the stock market function?,How
How do you lose weight?,How
How does a computer processor work?,How
How do you learn to play the guitar?,How
How does soap clean dirt?,How
How do you start a business?,How
How does a compass point north?,How
How do you train a dog to sit?,How
How does the human digestive system work?,How
How do you invest in cryptocurrency?,How
How does a battery store energy?,How
How do you cook the perfect steak?,How
How does a submarine dive and surface?,How
How do you fold an origami crane?,How
How does sound travel through the air?,How
How do you jump-start a car?,How
How much does a commercial airplane weigh?,How
By what method do scientists date fossils?,How
In what way does the heart pump blood?,How
What are the steps to changing your oil?,How
What is the process for applying for a passport?,How
By what means did ancient Egyptians build the pyramids?,How
In what manner should you address a judge?,How
What is the recipe for chocolate chip cookies?,How
What is the procedure to reboot the server?,How
By what mechanism do antibiotics kill bacteria?,How
What are the instructions for assembling this desk?,How
In what way do solar panels generate electricity?,How
What is the technique for throwing a curveball?,How
What is the mathematical formula to find the volume of a sphere?,How
By what route did Marco Polo travel to China?,How
What is the secret to a happy marriage?,How
What exactly is the fundamental difference between machine learning and deep learning?,What
"Under the new company policy, what constitutes a fireable offense?",What
"What, in your honest opinion, is the single greatest threat to global cybersecurity?",What
"Assuming the budget is approved, what is the first phase of the construction project?",What
What kind of return on investment are we looking at for the third quarter?,What
"In the context of quantum mechanics, what does the uncertainty principle dictate?",What
What were the underlying political factors that led to the French Revolution?,What
What specific type of mutual fund is best for a risk-averse retiree?,What
What happens to a star's core immediately after it goes supernova?,What
"To the best of your knowledge, what is the current status of the pending lawsuit?",What
What is the name of the physiological process where plants lose water through their leaves?,What
"Given the current economic climate, what are the safest assets to hold?",What
What exactly did the CEO mean during the all-hands meeting when she mentioned restructuring?,What
What is the recommended daily intake of Vitamin D for adults over fifty?,What
What are the primary structural differences between a eukaryotic and a prokaryotic cell?,What
What is the airspeed velocity of an unladen swallow?,What
"What, if any, are the long-term side effects of this experimental medication?",What
What specific error code is returned when the database connection times out?,What
What is the historical significance of the Rosetta Stone in understanding ancient Egypt?,What
What sort of documentation is required to renew an expired passport?,What
What are the mathematical odds of winning the Powerball lottery?,What
What is the primary function of the amygdala in the human brain?,What
What role does the Federal Reserve play in controlling inflation?,What
What are the standard dimensions of an Olympic-sized swimming pool?,What
What happens if you input a string into an integer field in this application?,What
What is the general consensus among climate scientists regarding rising sea levels?,What
What makes a diamond so much harder than graphite when both are made of carbon?,What
What was the exact turning point in the Battle of Gettysburg?,What
What are the ethical implications of using artificial intelligence in criminal sentencing?,What
What specific metrics does the marketing team use to track campaign success?,What
What is the chemical reaction responsible for the browning of a cut apple?,What
What is the minimum credit score required to secure a conventional mortgage?,What
What are the main arguments against the implementation of universal basic income?,What
What exactly is the difference between a Roth IRA and a Traditional IRA?,What
What was the most significant technological advancement of the 20th century?,What
What kind of habitat does the critically endangered Amur leopard require?,What
What is the standard protocol for handling a hazardous material spill in the lab?,What
What are the key ingredients necessary for a successful startup?,What
What is the psychological phenomenon where people conform to the actions of others?,What
What specific legislation regulates the disposal of electronic waste?,What
What is the underlying cause of the current supply chain disruptions?,What
What are the primary responsibilities of a full-stack software engineer?,What
What makes the James Webb Space Telescope superior to the Hubble?,What
What is the exact mechanism by which aspirin relieves a headache?,What
What were the major cultural impacts of the Renaissance period?,What
What is the proper attire for a black-tie optional corporate event?,What
What are the fundamental principles of object-oriented programming?,What
What is the expected lifespan of a commercial solar panel?,What
What does the acronym NATO stand for in international relations?,What
What is the process for appealing a property tax assessment?,What
What are the primary exports of the South American continent?,What
What is the significance of the Fibonacci sequence in nature?,What
What kind of maintenance is required for a tankless water heater?,What
What are the most common symptoms of a vitamin B12 deficiency?,What
What is the difference between civil law and criminal law?,What
What exactly is blockchain technology and how does it relate to cryptocurrency?,What
What are the prevailing theories regarding the construction of Stonehenge?,What
What is the threshold for a tropical storm to be classified as a Category 1 hurricane?,What
What are the main components of a standard internal combustion engine?,What
What is the origin story of the Marvel character Spider-Man?,What
What are the legal requirements for starting an LLC in the state of Delaware?,What
What is the most effective treatment plan for chronic lower back pain?,What
What are the historical roots of the conflict in the Middle East?,What
What is the difference between a centralized and decentralized network architecture?,What
What kind of telescope is best for an amateur astronomer living in a city?,What
What are the defining characteristics of a sociopathic personality disorder?,What
What is the maximum allowable payload for a Boeing 747 cargo plane?,What
What are the key differences between agile and waterfall project management methodologies?,What
What is the process of natural selection as described by Charles Darwin?,What
What are the symptoms of a failing transmission in an automatic vehicle?,What
What is the primary goal of the United Nations Framework Convention on Climate Change?,What
What are the distinct stages of grief according to the Kübler-Ross model?,What
What is the chemical composition of the atmosphere on the planet Mars?,What
